#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
MontpellierHéraultSC,ToulouseFC,2,0,2016,26,88,140
OGCNice,OlympiquedeMarseille,1,1,2016,26,91,94
OlympiqueLyonnais,SMCaen,4,1,2016,26,96,123
ParisFC,NîmesOlympique,0,0,2016,26,99,90
ParisSaint-Germain,LOSC,0,0,2016,26,101,84
RCLens,ValenciennesFC,0,1,2016,26,106,155
RedStarFC,EvianTGFC,2,2,2016,26,112,51
StadedeReims,SCBastia,0,1,2016,26,134,118
StadeRennaisFC,AngersSCO,1,0,2016,26,138,9
USCréteil-Lusitanos,ToursFC,2,2,2016,26,147,141
AngersSCO,OlympiqueLyonnais,0,3,2016,25,9,96
ASMonaco,OGCNice,1,0,2016,25,20,91
ASNancyLorraine,FCMetz,2,2,2016,25,21,61
ClermontFoot,AJAuxerre,1,2,2016,25,34,6
EvianTGFC,ParisFC,1,0,2016,25,51,99
FCLorient,MontpellierHéraultSC,1,1,2016,25,59,88
FCSochaux-Montbéliard,RedStarFC,1,2,2016,25,69,112
GazélecFCAjaccio,EAGuingamp,0,0,2016,25,72,45
GirondinsdeBordeaux,ASSaint-Etienne,1,4,2016,25,74,24
HavreAC,DijonFCO,0,2,2016,25,77,43
LOSC,StadeRennaisFC,1,1,2016,25,84,138
NîmesOlympique,ChamoisNiortais,1,0,2016,25,90,31
OlympiquedeMarseille,ParisSaint-Germain,1,2,2016,25,94,101
SCBastia,ESTACTroyes,2,0,2016,25,118,49
SMCaen,StadedeReims,0,2,2016,25,123,134
StadeBrestois29,FBBP01,2,1,2016,25,131,53
StadeLavallois,ACAjaccio,0,0,2016,25,136,2
ToulouseFC,FCNantes,0,0,2016,25,140,65
ToursFC,RCLens,0,1,2016,25,141,106
ValenciennesFC,USCréteil-Lusitanos,2,2,2016,25,155,147
ACAjaccio,NîmesOlympique,2,0,2016,24,2,90
AJAuxerre,EvianTGFC,3,1,2016,24,6,51
ASMonaco,SCBastia,2,0,2016,24,20,118
ChamoisNiortais,ASNancyLorraine,0,0,2016,24,31,21
DijonFCO,ValenciennesFC,1,0,2016,24,43,155
EAGuingamp,ESTACTroyes,4,0,2016,24,45,49
FBBP01,ToursFC,0,2,2016,24,53,141
FCMetz,StadeLavallois,1,0,2016,24,61,136
FCNantes,GazélecFCAjaccio,3,1,2016,24,65,72
LOSC,SMCaen,1,0,2016,24,84,123
MontpellierHéraultSC,OlympiquedeMarseille,0,1,2016,24,88,94
OGCNice,ToulouseFC,1,0,2016,24,91,140
OlympiqueLyonnais,GirondinsdeBordeaux,3,0,2016,24,96,74
ParisFC,ClermontFoot,0,0,2016,24,99,34
ParisSaint-Germain,FCLorient,3,1,2016,24,101,59
RCLens,StadeBrestois29,2,0,2016,24,106,131
RedStarFC,HavreAC,2,1,2016,24,112,77
